# 审查台账（review ledger）—— `scripts/check_review_coverage.sh` 的机械输入
#
# 机制叙述（两个实测失效案例、两类例外、**信任边界**）单点在 `docs/SDD_WORKFLOW_PROTOCOL.md` §7 第 8 条。
# 本文件只保留**改这个文件必须知道的格式契约**：
#
# 审查行：  <日期>\t<范围描述>\t<base>..<tip>
#   base = fixed point（累计 diff 的起点，**不含**该 commit）；tip = 审查实际读到的末条 commit。
#   描述必须与自己的 range 相符（实测踩过一次：描述写"不含 X"而 range 含 X）。
#   脚本校验：base/tip 存在、base 是 tip 的祖先、tip 是 HEAD 的祖先。
#
# [whitelist] 段：  <sha>\t<原因>    （7 位缩写或 40 位全长都认）
#   只收 docs-only——脚本逐条校验改动文件是否全部命中**文档扩展名**（`docs/` 下只认
#   .md/.txt/.rst/.tsv/.json/.yaml，因为仓库里就有 `docs/integration/*.sh`）。
#   已被审查行覆盖的条目是死条目，脚本会告警，应删除。
#
# **恰好只改**一个**台账文件（本文件或 `docs/review_ledger.d/*.tsv`）**的提交由脚本自动放行，无需声明（机械可验、藏不了代码）。
# 新增审查后按落点分工更新人读台账；V3-lite 不设固定批次，不再要求往
# `docs/SDD_TICKET_TRACKER.md` 的「批次台账」追加（那一节已是历史记录）。
#
#
#
# ⚠ **2026-09-22（issue #293）起：审查行「一文件一条」拆到 `docs/review_ledger.d/`**，
#   本文件只留**契约头部 + `[whitelist]` 段**。覆盖闸门**双读**（新目录 + 本文件求并集），
#   过渡期两者都认 —— `read_ledger()` 逐文件独立解析，两个来源的行被并起来判，**判定逻辑一行没改**。
#
# 审查行（现在在 `docs/review_ledger.d/<seq>-<base>-<tip>.tsv`，一行一个文件）：
#   内容仍是  <日期>\t<范围描述>\t<base>..<tip>（格式契约同上）。
#   文件名 `<seq>-<base>-<tip>.tsv`：`<seq>` = 迁移前在本文件里的行号（保序 + **保证唯一**）。
#   ⚠ 为什么不按票面写的 `<sha>.tsv`：实测 tip 有 **4 组重复**、`base..tip` 组合也重复 **1 组**
#   （`6f81c6e..fdb9ce3` 出现过两次）⇒ 只写 `<sha>` 做不到「一文件一条」。文件名只是**标签**，
#   判定不看它（重命名实验实测：判定逐项不变）。
#
# [whitelist] 段**没有**跟着拆（有意的遗留，不是漏做）：白名单行只在 `[whitelist]` 标记之后
#   才被认作白名单（否则会被当成审查行），拆成一文件一条就得给每个文件塞一个标记行；
#   而白名单是**低频**写入（审查行才是每批都加的那一类）⇒ 收益小于搬迁成本。
[whitelist]
84d4097	仅提交 Gate-0 6/6 PASS 机器读数 JSON（`docs/gate/475640e3c67d5642285854f6f36601fe86e731cd.json`），不含代码或测试变更，docs-only
59192b9	保留首次 Gate-0 机器读数（对应合并提交 1887bfa，唯一失败为当时尚未登记的 coverage 白名单）；本提交只新增该 Gate JSON 与本台账 docs-only 声明，无代码或测试变更
1887bfa	合并最新 origin/main（B-44 关闭与 B-43 最新状态）及 Memory V2 规划后的冲突并集；相对第一父提交仅修改 PHASE_STATUS、SDD_TICKET_TRACKER、SDD_WORKFLOW_PROTOCOL、月度归档和 review ledger 五份文档（.md/.tsv），无代码或测试变更，docs-only
c1fbef6	Memory V2 规划落点：新增 PRD、成熟产品调研与 8 张可独立施工 ticket，并同步 README / PHASE_STATUS / tracker / 月度归档；全部为文档扩展名，docs-only
e97a382	同步 origin/main 后的纯文档合并：完整保留远端 B-40–B-43 记录与本地 Memory V2 规划，B-43 保持当前施工、Memory V2 标记待施工，并重算 PHASE_STATUS 索引；相对 origin/main 仅文档变更，docs-only
d26450b	补真独立复核结果（审计包 §10.8.1 末尾：逐字节副本 12/12、目录 13 项、未动 Matt skill 三项全 PASS）——只改 docs/agents/SDD_ACCELERATION_AUDIT.md 一个 .md，docs-only
a5f4698	更正 PROVENANCE §7 对需求方指令的误抄（Matt skill 不动、只改 pstack；去两处误述）——只改 docs/agents/skills/PROVENANCE.md 一个 .md，docs-only
337a858	批 2 收口状态如实化（审计包头部过期状态更正 + PHASE_STATUS 登记提速批 1/批 2）——只改 `docs/PHASE_STATUS.md` + `docs/agents/SDD_ACCELERATION_AUDIT.md` 两个 .md，全落在文档扩展名内，docs-only 走白名单
5c7db24	批 1 协议 §8.3 机制修订（删「例外（不算超预算）」改「无第二轮」+ 新增第 7 条工具豁免附件前提条款）——只改 docs/SDD_WORKFLOW_PROTOCOL.md，全落在文档扩展名内，docs-only 走白名单
45a367f	B-29 初稿（协议 §8 六条 + tracker B-29 + AGENTS.md §16 + PHASE_STATUS 索引，4 文件纯文档）——批次边界提交落在审查行 base 左侧，按 45744d3 先例走白名单
1b01d17	B-28（#264）集成/关单状态如实化（tracker B-28 集成与关单节 + 月度归档集成与关单/F 轴故障登记 + PHASE_STATUS 焦点/索引/按日定位；docs-only）
489541f	B-28（#264）落点（tracker B-28 段 + 月度归档 B-28 逐条明细 + PHASE_STATUS 焦点/索引/按日定位；docs-only）
6deb9bd	B-27（#263）落点（tracker B-27 段 + 月度归档 B-27 逐条明细 + PHASE_STATUS 焦点/索引/按日定位；docs-only）
5390981	B-26 集成状态落盘（tracker B-26 集成与关单节 + PHASE_STATUS 当前焦点 + 月度归档 + §14.9 通知与冲突面预告；docs-only）
